iter	Passed	Remaining
0	153	153481
1	158	79016
2	162	53938
3	166	41434
4	170	33898
5	174	28891
6	178	25270
7	182	22578
8	185	20476
9	189	18783
10	193	17429
11	197	16259
12	201	15273
13	204	14418
14	208	13698
15	212	13083
16	217	12548
17	220	12054
18	224	11612
19	229	11230
20	233	10862
21	237	10543
22	241	10241
23	246	10021
24	250	9770
25	254	9532
26	259	9343
27	263	9132
28	266	8934
29	270	8758
30	275	8620
31	279	8464
32	284	8336
33	288	8196
34	292	8062
35	297	7955
36	300	7830
37	305	7724
38	309	7632
39	314	7551
40	319	7469
41	323	7368
42	327	7285
43	332	7219
44	336	7141
45	340	7062
46	344	6989
47	348	6913
48	353	6865
49	357	6795
50	362	6740
51	366	6687
52	371	6645
53	375	6580
54	380	6533
55	384	6484
56	389	6451
57	394	6401
58	399	6365
59	404	6331
60	408	6289
61	412	6247
62	417	6202
63	420	6154
64	424	6110
65	429	6082
66	434	6051
67	438	6016
68	443	5985
69	447	5944
70	452	5916
71	456	5889
72	461	5858
73	465	5827
74	469	5796
75	474	5769
76	478	5734
77	482	5702
78	486	5674
79	492	5663
80	496	5637
81	501	5609
82	504	5577
83	509	5554
84	513	5526
85	518	5507
86	522	5481
87	527	5462
88	530	5433
89	535	5412
90	539	5393
91	544	5373
92	548	5348
93	552	5327
94	557	5311
95	561	5289
96	566	5269
97	569	5244
98	573	5220
99	578	5209
100	583	5190
101	587	5176
102	592	5160
103	596	5138
104	600	5120
105	604	5094
106	607	5071
107	611	5050
108	615	5028
109	619	5010
110	622	4988
111	626	4970
112	630	4949
113	635	4936
114	639	4921
115	643	4904
116	647	4886
117	652	4874
118	656	4862
119	661	4849
120	664	4829
121	669	4818
122	674	4805
123	677	4787
124	681	4768
125	685	4756
126	689	4741
127	693	4722
128	697	4709
129	701	4697
130	706	4688
131	710	4671
132	714	4657
133	719	4648
134	723	4638
135	727	4624
136	732	4611
137	736	4602
138	740	4586
139	744	4572
140	747	4556
141	751	4542
142	755	4527
143	759	4514
144	763	4502
145	767	4492
146	771	4478
147	776	4472
148	780	4458
149	785	4448
150	790	4442
151	795	4436
152	799	4426
153	803	4415
154	807	4403
155	811	4391
156	816	4383
157	821	4376
158	826	4370
159	830	4360
160	835	4354
161	840	4348
162	844	4336
163	848	4325
164	853	4319
165	858	4313
166	862	4302
167	867	4295
168	871	4286
169	876	4277
170	880	4267
171	884	4255
172	887	4244
173	892	4236
174	897	4230
175	901	4219
176	905	4211
177	909	4201
178	914	4194
179	919	4187
180	923	4177
181	927	4166
182	932	4161
183	936	4154
184	941	4145
185	945	4139
186	950	4133
187	954	4124
188	959	4115
189	962	4105
190	966	4095
191	970	4085
192	975	4078
193	980	4072
194	984	4063
195	989	4057
196	993	4050
197	997	4040
198	1002	4034
199	1006	4027
200	1011	4021
201	1015	4012
202	1019	4002
203	1023	3992
204	1026	3982
205	1030	3972
206	1035	3966
207	1039	3958
208	1043	3948
209	1048	3942
210	1051	3932
211	1056	3927
212	1061	3920
213	1065	3913
214	1069	3904
215	1073	3896
216	1077	3889
217	1082	3883
218	1086	3875
219	1091	3869
220	1095	3860
221	1098	3851
222	1102	3842
223	1106	3834
224	1111	3829
225	1115	3821
226	1119	3813
227	1123	3805
228	1127	3797
229	1131	3789
230	1135	3780
231	1140	3775
232	1145	3769
233	1149	3763
234	1154	3757
235	1158	3750
236	1163	3745
237	1168	3740
238	1172	3732
239	1177	3727
240	1181	3720
241	1185	3712
242	1189	3706
243	1193	3697
244	1197	3689
245	1202	3685
246	1206	3678
247	1210	3670
248	1214	3662
249	1218	3654
250	1222	3648
251	1227	3642
252	1231	3637
253	1236	3630
254	1239	3622
255	1243	3615
256	1248	3609
257	1252	3601
258	1256	3594
259	1261	3589
260	1266	3584
261	1270	3579
262	1274	3571
263	1279	3565
264	1283	3559
265	1288	3554
266	1293	3550
267	1298	3545
268	1302	3538
269	1306	3531
270	1310	3524
271	1314	3519
272	1319	3514
273	1324	3508
274	1328	3503
275	1332	3496
276	1336	3488
277	1341	3483
278	1345	3476
279	1349	3471
280	1355	3467
281	1359	3461
282	1363	3453
283	1367	3447
284	1371	3439
285	1375	3434
286	1380	3429
287	1384	3422
288	1388	3415
289	1393	3410
290	1396	3402
291	1400	3396
292	1404	3389
293	1408	3382
294	1412	3374
295	1416	3370
296	1420	3363
297	1425	3357
298	1430	3353
299	1434	3347
300	1438	3341
301	1443	3336
302	1447	3329
303	1451	3324
304	1455	3316
305	1460	3313
306	1464	3306
307	1469	3302
308	1473	3295
309	1477	3289
310	1481	3282
311	1485	3274
312	1490	3270
313	1494	3265
314	1497	3257
315	1502	3251
316	1506	3245
317	1511	3240
318	1514	3234
319	1518	3227
320	1522	3220
321	1526	3213
322	1530	3208
323	1534	3201
324	1538	3195
325	1543	3190
326	1547	3185
327	1552	3180
328	1556	3175
329	1561	3169
330	1565	3164
331	1570	3159
332	1575	3154
333	1579	3149
334	1583	3143
335	1587	3136
336	1591	3131
337	1596	3126
338	1599	3119
339	1604	3114
340	1608	3108
341	1612	3103
342	1616	3096
343	1620	3089
344	1623	3082
345	1627	3075
346	1631	3070
347	1636	3066
348	1640	3059
349	1644	3053
350	1648	3048
351	1653	3043
352	1658	3038
353	1662	3033
354	1666	3028
355	1671	3023
356	1675	3017
357	1680	3012
358	1683	3006
359	1687	3000
360	1692	2996
361	1697	2991
362	1701	2986
363	1706	2981
364	1711	2977
365	1716	2972
366	1720	2966
367	1725	2963
368	1729	2957
369	1734	2952
370	1739	2948
371	1744	2944
372	1748	2938
373	1752	2933
374	1756	2928
375	1761	2923
376	1766	2918
377	1771	2914
378	1774	2908
379	1779	2903
380	1784	2899
381	1789	2894
382	1792	2887
383	1796	2881
384	1800	2876
385	1804	2870
386	1809	2865
387	1813	2860
388	1817	2855
389	1822	2850
390	1827	2846
391	1831	2841
392	1835	2834
393	1839	2829
394	1843	2823
395	1847	2818
396	1852	2813
397	1856	2808
398	1860	2802
399	1865	2797
400	1869	2793
401	1873	2787
402	1877	2781
403	1882	2776
404	1886	2771
405	1890	2766
406	1895	2761
407	1899	2756
408	1903	2750
409	1908	2745
410	1912	2741
411	1917	2737
412	1921	2731
413	1925	2725
414	1930	2720
415	1934	2715
416	1939	2710
417	1942	2705
418	1946	2699
